                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                      1,                 6.0504,                 4.9357,                 3.1217,                0.00782,                0.00827,                  0.002,                0.00046,                 5.6408,                 3.7422,                 2.5019,               0.066838,             8.3112e-05,             8.3112e-05,             1.7153e+09,                     47
                      2,                 5.4796,                 3.7563,                 2.3705,                0.01266,                0.01177,                0.00308,                0.00074,                 5.5686,                 3.3768,                 2.2986,               0.033572,             0.00014997,             0.00014997,             1.7153e+09,                    112
                      3,                 5.4479,                 3.5346,                 2.2849,                0.01486,                0.01604,                0.00386,                0.00095,                 5.4688,                 3.2437,                 2.2029,             0.00028897,             0.00020032,             0.00020032,             1.7153e+09,                    175
                      4,                 5.3616,                 3.3951,                 2.2433,                 0.0163,                0.01948,                0.00433,                0.00108,                  5.382,                 3.1721,                 2.1544,             0.00017575,             0.00017575,             0.00017575,             1.7153e+09,                    238
                      5,                 5.2517,                 3.3048,                 2.1931,                0.01944,                0.02077,                0.00562,                0.00143,                  5.284,                 3.0754,                 2.1267,             0.00017575,             0.00017575,             0.00017575,             1.7153e+09,                    301
                      6,                 5.1516,                 3.2206,                 2.1554,                0.02345,                0.02542,                0.00688,                0.00185,                 5.0697,                 2.9979,                 2.0529,               0.000151,               0.000151,               0.000151,             1.7153e+09,                    364
                      7,                 5.0499,                  3.201,                 2.1298,                0.02372,                0.02594,                0.00841,                0.00208,                 5.0445,                  2.991,                 2.0501,             0.00012625,             0.00012625,             0.00012625,             1.7153e+09,                    427
                      8,                 4.9963,                  3.173,                 2.1073,                0.02477,                0.02754,                0.00904,                0.00233,                 4.9937,                  2.951,                 2.0246,              0.0001015,              0.0001015,              0.0001015,             1.7153e+09,                    489
                      9,                   4.96,                 3.1468,                 2.1028,                0.02655,                0.02979,                 0.0085,                0.00223,                 4.9504,                 2.9285,                 2.0019,              7.675e-05,              7.675e-05,              7.675e-05,             1.7153e+09,                    552
                     10,                 4.9238,                 3.1162,                 2.0814,                0.02669,                0.02989,                0.00871,                0.00229,                 4.9452,                 2.9233,                 1.9985,                5.2e-05,                5.2e-05,                5.2e-05,             1.7153e+09,                    615
